pitch_id,game_played,pitcherside,hitterteam,hometeam,cleaned_description,hitter_perf,is_home,pa_outcome,wOBA
7044662,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,single,0.63273907,0,single,0.882
7044667,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,single,0.5205633,0,single,0.882
7044671,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,out,-0.37306634,0,field_out,0.0
7044680,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,double,0.6131589,0,double,1.243
7044683,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,single,0.60357356,0,single,0.882
7044687,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,out,-0.39318126,0,field_out,0.0
7044690,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,single,0.58674604,0,single,0.882
7044694,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,called_strike,-0.30195922,0,strikeout,0.0
7044700,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,single,0.5928232,1,single,0.882
7044706,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,ball,0.39394554,1,walk,0.696
7044713,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,swinging_strike,-0.29264185,1,strikeout,0.0
7044714,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,single,0.5734314,1,single,0.882
7044719,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,out,-0.36929932,1,field_out,0.0
7044723,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,swinging_strike,-0.33761325,1,strikeout,0.0
7044725,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,out,-0.38344407,0,field_out,0.0
7044727,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,single,0.55306923,0,single,0.882
7044732,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,double,0.9661757,0,double,1.243
7044734,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,hit_by_pitch,0.08883932,0,hit_by_pitch,0.726
7044738,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,swinging_strike,-0.31799304,0,strikeout,0.0
7044742,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,out,-0.36882597,0,field_out,0.0
7044746,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,swinging_strike,-0.27482408,1,strikeout,0.0
7044748,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,single,0.5612854,1,single,0.882
7044750,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,single,0.49663028,1,single,0.882
7044756,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,out,-0.4885232,1,field_out,0.0
7044759,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,out,-0.32291856,1,field_out,0.0
7044766,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,swinging_strike,-0.21133809,0,strikeout,0.0
7044771,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,single,0.54400545,0,single,0.882
7044777,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,swinging_strike,-0.3601067,0,strikeout,0.0
7044781,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,called_strike,-0.35066757,0,strikeout,0.0
7044787,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,out,-0.45747846,1,field_out,0.0
7044788,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,out,-0.32251018,1,field_out,0.0
7044792,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,single,0.5866277,1,single,0.882
7044793,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,home_run,1.7408851,1,home_run,2.004
7044796,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,single,0.5028494,1,single,0.882
7044797,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,out,-0.344177,1,field_out,0.0
7044801,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,single,0.5269094,0,single,0.882
7044808,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,swinging_strike,-0.3220643,0,strikeout,0.0
7044809,2023-03-30,R,Toronto Blue Jays,St. Louis Cardinals,single,0.5544413,0,single,0.882
7044813,2023-03-30,L,Toronto Blue Jays,St. Louis Cardinals,out,-0.3050059,0,field_out,0.0
7044817,2023-03-30,L,Toronto Blue Jays,St. Louis Cardinals,swinging_strike,-0.35853705,0,strikeout,0.0
7044824,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,single,0.534886,1,single,0.882
7044828,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,home_run,1.7665105,1,home_run,2.004
7044832,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,out,-0.34548306,1,field_out,0.0
7044841,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,ball,0.1389018,1,walk,0.696
7044843,2023-03-30,R,St. Louis Cardinals,St. Louis Cardinals,out,-0.35699618,1,field_out,0.0
